Baq_Solar,Bog_Solar,Cali_Solar,Ctg_Solar,Med_Solar,StM_Solar,Baq_Wind,Bog_Wind,Cali_Wind,Ctg_Wind,Med_Wind,StM_Wind
107.4576,99.5298,71.22945,107.37945,115.61355,109.40745,40.08675,31.1559,37.66035,7.68105,5.1063,75.10815
93.6909,85.84275,64.53345,93.8658,100.1103,94.91565,59.6694,29.00865,35.877,17.60685,3.75405,82.94595
72.09015,64.31205,48.26415,72.6537,78.60375,72.3609,81.68925,25.4658,34.2789,38.73015,2.697,92.53905
40.96725,37.5327,31.677,42.4239,47.7612,39.27975,99.15735,21.52905,30.43965,71.1951,1.13175,104.60625
5.2611,6.9945,7.94595,6.92025,12.03135,3.99555,98.71275,11.5089,19.4457,92.96865,1.3509,109.7688
0,0,0,0,0,0,94.9431,5.99925,12.06345,99.72525,2.4759,110.9133
0,0,0,0,0,0,92.1657,4.55805,9.20625,100.7022,2.8611,107.3442
0,0,0,0,0,0,93.4245,3.29445,8.0196,100.22445,3.2166,107.79885
0,0,0,0,0,0,94.5837,1.8168,7.37595,100.2138,6.7413,106.5429
0,0,0,0,0,0,90.79815,1.93815,7.4943,98.69925,11.466,109.5573
0,0,0,0,0,0,75.2649,4.2315,7.50435,92.32245,13.14045,105.05565
0,0,0,0,0,0,64.7589,3.9684,7.17375,84.03015,11.46855,103.5456
0,0,0,0,0,0,60.08175,2.8035,7.12395,75.7893,9.1629,104.69805
0,0,0,0,0,0,57.3756,2.20785,6.9021,65.42145,7.0161,104.54955
0,0,0,0,0,0,54.5229,2.69175,6.7584,53.652,7.13055,104.51115
0,0,0,0,0,0,48.39375,2.5428,5.48235,37.96755,5.98995,102.0363
0,0,0,0,0,0,43.22835,1.96725,4.1715,25.1001,4.6353,99.51555
6.50745,6.51315,4.3686,5.1939,10.9845,7.8084,37.64055,1.758,3.17025,17.18955,3.00675,94.5708
45.8784,28.5261,27.9489,43.7307,51.96765,46.9641,21.26415,2.5431,3.11865,9.1065,1.65765,81.6504
75.69795,53.6628,55.3221,73.95555,84.82065,78.66585,11.8518,6.5661,6.7596,9.43755,2.6772,67.2933
96.08745,77.226,83.29785,94.75815,104.71905,99.30345,6.6375,8.6688,9.94185,12.8376,4.3731,51.4896
108.55575,92.59095,95.65605,107.6322,117.7089,111.8697,3.33465,11.16315,14.5104,10.4508,7.2582,34.0824
114.28215,101.45415,100.2669,113.70255,123.06855,117.49995,3.00465,14.4636,24.20715,3.8835,9.19335,31.5144
113.77635,102.3582,100.8909,113.3397,121.50345,116.71965,7.33785,15.18345,29.09655,0.2781,9.33345,41.95125
107.10825,95.1456,85.0893,106.8321,114.3549,109.42455,16.85415,13.2174,29.24235,0.1719,7.6785,54.28845
93.513,87.2529,65.91945,93.61815,102.6027,95.1114,32.7963,11.4048,29.0457,3.9171,5.52555,64.6548
72.135,65.6283,40.24665,72.7941,80.83065,72.6603,50.1282,11.31945,25.7745,18.62415,3.45615,70.5126
41.41635,38.8605,19.49085,42.9714,51.0474,40.53015,66.62295,12.60795,18.5919,49.1556,1.0653,77.36895
5.5662,7.32045,4.31565,7.31625,13.12065,4.4643,70.4736,9.1644,10.1931,73.66545,0.88395,83.54445
0,0,0,0,0,0,68.95215,9.30345,7.23045,78.3045,1.26615,88.53645
0,0,0,0,0,0,66.6369,9.2589,5.1561,73.3251,1.02105,97.8453
0,0,0,0,0,0,67.0524,8.57265,4.06935,66.7185,1.22535,107.3892
0,0,0,0,0,0,55.8804,6.96945,3.56595,59.6655,1.70775,105.048
0,0,0,0,0,0,52.81605,3.86925,3.36345,53.42835,2.6079,97.9083
0,0,0,0,0,0,42.68865,1.6839,3.00915,47.4243,3.69825,86.65755
0,0,0,0,0,0,38.457,0.8964,2.8377,47.15415,4.4934,76.9578
0,0,0,0,0,0,41.1636,0.68895,2.6448,46.45755,4.98555,80.47515
0,0,0,0,0,0,44.29905,0.7944,3.33765,39.2094,4.57005,89.79675
0,0,0,0,0,0,46.3005,0.771,4.30155,29.51235,4.58295,95.95815
0,0,0,0,0,0,39.98535,1.09785,5.27985,17.7666,3.6297,94.6632
0,0,0,0,0,0,29.4447,2.6448,3.84675,8.98665,4.25115,86.95305
6.4344,7.21575,4.58385,4.9116,8.0247,7.93125,17.80485,5.58015,2.2335,4.6881,4.9782,71.92335
45.867,29.27445,28.431,42.78195,44.85795,47.769,8.6307,7.5279,3.45045,1.47465,2.88345,52.4097
75.38925,66.48465,55.90245,72.8139,74.3721,78.9534,6.28875,9.6504,6.71865,1.7148,2.3592,37.8924
95.6076,96.03525,81.95565,93.68595,95.3199,99.2487,6.37215,6.49455,7.5603,4.27515,1.6131,31.6353
108.25545,111.4497,95.88015,107.14695,100.8486,111.90555,12.55485,5.54085,9.6648,4.23075,1.4346,43.08765
114.2538,117.0852,100.0092,113.3187,101.5095,117.76605,26.35185,4.5285,10.37895,4.22145,1.3071,58.6572
113.98635,115.8135,98.41065,113.13045,97.926,117.1263,45.17475,2.84385,10.96875,7.8849,0.69015,65.0643
106.9839,106.8723,84.62115,106.44435,87.0336,109.5894,60.7344,2.25165,10.7517,19.1109,0.2181,75.2457
92.898,89.47845,51.18585,92.688,68.4147,94.6248,72.9069,1.7553,8.9412,37.3059,0.0681,83.19675
70.8486,66.36825,36.5238,69.88245,41.5284,71.4672,85.66605,1.4451,6.64305,59.12565,0.0183,92.7825
39.55005,31.53015,18.9642,40.05585,18.18705,38.83005,96.2418,1.00695,4.6434,78.07665,0.0009,104.8107
4.9239,3.23085,3.62625,6.3312,3.66435,3.8469,94.01685,0.4629,2.20905,87.4473,0.0006,106.20075
0,0,0,0,0,0,94.623,0.60585,1.85505,94.94055,0.0057,106.272
0,0,0,0,0,0,96.61275,1.68,2.46645,99.8712,0.18045,106.03605
0,0,0,0,0,0,100.24395,3.0339,2.7153,104.55285,0.67065,105.537
0,0,0,0,0,0,106.4586,2.9979,2.34495,111.37305,0.6126,111.8874
0,0,0,0,0,0,107.65725,2.3334,2.1267,120.37905,0.5094,109.34565
0,0,0,0,0,0,103.5927,1.5891,1.67565,127.86675,0.64065,105.0507
0,0,0,0,0,0,101.36295,1.16925,1.32525,132.2985,0.91815,100.7538
0,0,0,0,0,0,100.5315,1.01145,1.1079,131.4495,1.09725,98.42655
0,0,0,0,0,0,96.8664,1.15995,1.11795,128.6199,1.48665,97.45725
0,0,0,0,0,0,92.60655,1.6866,1.377,126.0459,2.487,99.1539
0,0,0,0,0,0,85.75995,2.3682,1.4925,117.93345,3.1518,94.8342
0,0,0,0,0,0,74.03715,3.17385,1.6089,103.875,3.1119,90.18345
4.2819,2.931,2.22075,3.83835,8.028,5.3361,64.37535,2.8647,2.06805,90.21735,2.48925,84.83715
38.63805,15.92445,15.97515,39.1818,43.33395,38.42295,54.0873,6.85125,3.3015,70.94205,2.0151,80.6361
70.5471,36.77715,34.1358,70.16115,72.8682,70.74015,42.40125,10.5522,7.96125,50.51475,0.88455,72.2508
93.7056,54.08535,52.1373,91.9731,97.93935,97.25145,28.69245,6.8436,11.89965,32.1519,0.06165,59.2611
107.0181,68.03295,55.2705,105.8739,108.0387,110.2935,22.09965,4.95705,11.00025,18.15645,0.02685,49.73685
113.17485,72.6726,56.13585,112.21815,111.8856,116.24685,26.4717,5.02965,9.31425,12.01605,0.06615,48.00735
112.18125,70.5633,49.25985,111.63285,106.4604,115.6311,41.9256,5.29695,8.05365,14.5308,0.1884,51.6858
102.6849,65.42925,37.7253,104.0727,87.0834,106.1031,61.1034,5.1204,4.5684,26.99025,0.55485,59.5275
88.17675,55.1805,21.5658,86.94675,60.2409,88.6323,78.21885,4.0722,2.51025,47.6397,0.6885,70.3719
67.1682,35.90355,13.83375,65.4849,40.75275,63.92865,92.3448,2.63145,1.6944,71.8071,0.2649,89.0703
37.85295,16.62015,6.6918,38.2788,14.02485,35.00175,102.5496,2.14995,0.80865,93.25575,0.0417,98.53095
4.48995,2.1951,0.9972,5.637,1.31505,3.20085,98.7213,1.44915,0.5529,104.20995,0.09645,97.09395
0,0,0,0,0,0,98.0649,1.85805,0.8136,112.2144,0.39405,96.46815
0,0,0,0,0,0,101.6727,2.2023,0.7728,114.63015,0.7722,97.4685
